run,round,demo_file,trajectory_index,timesteps,total_reward,push_left,push_right,terminal
seed_0_expert_50000_dagger_8000,round-000,dagger-demo-0-7171495c1fe54d058e114cf7e6adb892.npz,0,500,500.0,250,250,True
seed_0_expert_50000_dagger_8000,round-000,dagger-demo-0-c64aaa8d22a1411490ae662f76f50ee0.npz,0,500,500.0,250,250,True
seed_0_expert_50000_dagger_8000,round-000,dagger-demo-0-d73a47c634cd497fbba258538b53986f.npz,0,500,500.0,250,250,True
seed_0_expert_50000_dagger_8000,round-001,dagger-demo-0-c0856b8a771d412c9f069d0616f527c0.npz,0,500,500.0,234,266,True
seed_0_expert_50000_dagger_8000,round-001,dagger-demo-0-c448eb08f61540e2b8a24cc6d9ea3578.npz,0,500,500.0,265,235,True
seed_0_expert_50000_dagger_8000,round-001,dagger-demo-0-e463120e26a64a4391293c914fe5ad4f.npz,0,500,500.0,241,259,True
seed_0_expert_50000_dagger_8000,round-002,dagger-demo-0-03035beb5f4644758e42022ff34237a4.npz,0,500,500.0,237,263,True
seed_0_expert_50000_dagger_8000,round-002,dagger-demo-0-4ed3512adb4140ad899c5c40e8b45e66.npz,0,500,500.0,264,236,True
seed_0_expert_50000_dagger_8000,round-002,dagger-demo-0-d7903b5bbaf74b00bbc0f480b96b8d76.npz,0,500,500.0,256,244,True
seed_0_expert_50000_dagger_8000,round-003,dagger-demo-0-3087ada5cb7a41b2afc269fd03cb80ad.npz,0,500,500.0,236,264,True
seed_0_expert_50000_dagger_8000,round-003,dagger-demo-0-429fcd9dfdc84ec68db44ffe984fbbb5.npz,0,500,500.0,223,277,True
seed_0_expert_50000_dagger_8000,round-003,dagger-demo-0-bdc1a50fcd6a4ebe97d751358f0b262c.npz,0,500,500.0,228,272,True
seed_0_expert_50000_dagger_8000,round-004,dagger-demo-0-2a24df1b61f64342b51a8653b4b10a84.npz,0,500,500.0,255,245,True
seed_0_expert_50000_dagger_8000,round-004,dagger-demo-0-68f2ae3c168f4efabba4e0a2fe7851f4.npz,0,500,500.0,238,262,True
seed_0_expert_50000_dagger_8000,round-004,dagger-demo-0-94b2db8b3bc54dfc839409f108fa3708.npz,0,500,500.0,250,250,True
seed_0_expert_50000_dagger_8000,round-005,dagger-demo-0-343f16cff6cf48e9865f9a4c545f1263.npz,0,500,500.0,246,254,True
seed_0_expert_50000_dagger_8000,round-005,dagger-demo-0-6a2a4a371a0c4c8e853637f4c660ee15.npz,0,500,500.0,249,251,True
seed_0_expert_50000_dagger_8000,round-005,dagger-demo-0-bba6adc90bfd41f18a25c7628e65be42.npz,0,500,500.0,249,251,True
