method,iteration,cumulative_labels_per_seed,metric,n_seeds,mean,sample_standard_deviation,standard_error,confidence_interval_95_lower,confidence_interval_95_upper,unclipped_margin_of_error_95
dagger,1,500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
dagger,1,500,mean_return,5,79.55,5.326466934094306,2.3820684289079517,72.93631777031231,86.16368222968768,6.61368222968768
dagger,2,1000,failure_rate,5,0.7699999999999999,0.36159369463529084,0.16170961628796227,0.3210221273938737,1.0,0.4489778726061262
dagger,2,1000,mean_return,5,316.12,112.98496913306654,50.52841428345045,175.83063148930773,456.4093685106923,140.28936851069227
dagger,3,1500,failure_rate,5,0.19999999999999998,0.1903943276465977,0.085146931829632,0.0,0.4364057821009919,0.23640578210099195
dagger,3,1500,mean_return,5,472.91,25.796763362871715,11.536663295771445,440.87908766214036,500.0,32.030912337859675
dagger,4,2000,failure_rate,5,0.05,0.0,0.0,0.05,0.05,0.0
dagger,4,2000,mean_return,5,493.9599999999999,0.3911521443121476,0.17492855684535394,493.4743204645873,494.4456795354125,0.4856795354125969
dagger,5,2500,failure_rate,5,0.030000000000000006,0.027386127875258306,0.012247448713915891,0.0,0.06400436903291279,0.03400436903291278
dagger,5,2500,mean_return,5,496.65,3.0748983723043586,1.3751363568752004,492.8320093929743,500.0,3.8179906070256764
dagger,6,3000,failure_rate,5,0.01,0.022360679774997897,0.01,0.0,0.03776445105197793,0.027764451051977935
dagger,6,3000,mean_return,5,498.85,2.571478174124758,1.15,495.65708812902255,500.0,3.192911870977462
dagger,7,3500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,7,3500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,8,4000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,8,4000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,9,4500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,9,4500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,10,5000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,10,5000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,11,5500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,11,5500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,12,6000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,12,6000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,13,6500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,13,6500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,14,7000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,14,7000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,15,7500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,15,7500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,16,8000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,16,8000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,17,8500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,17,8500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,18,9000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,18,9000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,19,9500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,19,9500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
dagger,20,10000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
dagger,20,10000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
smile,1,500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,1,500,mean_return,5,79.55,5.326466934094306,2.3820684289079517,72.93631777031231,86.16368222968768,6.61368222968768
smile,2,1000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,2,1000,mean_return,5,80.67,5.50449816059557,2.4616864138228496,73.83526280580963,87.50473719419037,6.83473719419036
smile,3,1500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,3,1500,mean_return,5,89.78999999999999,13.028449639155074,5.82649980691667,73.61304313065031,105.96695686934967,16.176956869349677
smile,4,2000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,4,2000,mean_return,5,88.94000000000001,15.147169702621014,6.774020224357172,70.13230470557268,107.74769529442734,18.80769529442733
smile,5,2500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,5,2500,mean_return,5,85.57000000000001,9.092895578417252,4.066466525129649,74.27967892085312,96.8603210791469,11.290321079146894
smile,6,3000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,6,3000,mean_return,5,89.84,6.771945806044228,3.0285062324519,81.43151869484791,98.2484813051521,8.408481305152089
smile,7,3500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,7,3500,mean_return,5,86.16999999999999,10.435791776381896,4.6670279622046404,73.21225305851569,99.12774694148429,12.957746941484306
smile,8,4000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,8,4000,mean_return,5,93.56999999999998,16.27715423530784,7.279364670079388,73.35924359280831,113.78075640719165,20.210756407191667
smile,9,4500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,9,4500,mean_return,5,93.22,16.29001227746621,7.285114961344123,72.9932782247729,113.4467217752271,20.2267217752271
smile,10,5000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,10,5000,mean_return,5,97.78,10.131547265842467,4.530965680735178,85.20002251390363,110.35997748609637,12.579977486096372
smile,11,5500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,11,5500,mean_return,5,97.8,13.23919370656688,5.920747419034189,81.36136980931005,114.23863019068995,16.438630190689942
smile,12,6000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,12,6000,mean_return,5,96.41,7.721188380035806,3.4530204169683083,86.82287836516029,105.9971216348397,9.587121634839702
smile,13,6500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,13,6500,mean_return,5,104.17999999999999,12.868206945802516,5.754837095869875,88.2020107139614,120.15798928603859,15.977989286038598
smile,14,7000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,14,7000,mean_return,5,107.97,13.464564604917609,6.021536348806674,91.25153487858512,124.68846512141488,16.718465121414884
smile,15,7500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,15,7500,mean_return,5,112.39000000000001,10.115359608041622,4.523726340087339,99.8301221458102,124.94987785418984,12.55987785418982
smile,16,8000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,16,8000,mean_return,5,109.54,16.519208516148705,7.387614635320387,89.02869350667714,130.05130649332287,20.51130649332287
smile,17,8500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,17,8500,mean_return,5,112.80999999999999,11.708244958148086,5.23608632472766,98.27229375331677,127.3477062466832,14.537706246683216
smile,18,9000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,18,9000,mean_return,5,116.84,9.148524471192065,4.091344522281155,105.48060652743469,128.1993934725653,11.359393472565316
smile,19,9500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,19,9500,mean_return,5,118.67,9.898270050872531,4.426640938680256,106.37967443333304,130.96032556666697,12.290325566666963
smile,20,10000,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
smile,20,10000,mean_return,5,119.55,12.376237311881178,5.534821587007116,104.182871696611,134.91712830338898,15.36712830338899
supervised,1,500,failure_rate,5,1.0,0.0,0.0,1.0,1.0,0.0
supervised,1,500,mean_return,5,79.55,5.326466934094306,2.3820684289079517,72.93631777031231,86.16368222968768,6.61368222968768
supervised,2,1000,failure_rate,5,0.8400000000000001,0.1710263137648707,0.07648529270389177,0.6276427834526592,1.0,0.21235721654734083
supervised,2,1000,mean_return,5,186.51,51.71367565741193,23.127058827269842,122.29899072140522,250.72100927859475,64.21100927859477
supervised,3,1500,failure_rate,5,0.42000000000000004,0.0273861278752583,0.012247448713915888,0.3859956309670873,0.4540043690329128,0.034004369032912776
supervised,3,1500,mean_return,5,338.44,11.253854895101497,5.032876910873142,324.46649353574327,352.4135064642567,13.973506464256726
supervised,4,2000,failure_rate,5,0.19,0.15572411502397437,0.0696419413859206,0.0,0.3833570272774109,0.1933570272774109
supervised,4,2000,mean_return,5,438.5400000000001,64.066814732746,28.651550568861012,358.99054266675887,500.0,79.54945733324121
supervised,5,2500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,5,2500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,6,3000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,6,3000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,7,3500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,7,3500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,8,4000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,8,4000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,9,4500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,9,4500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,10,5000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,10,5000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,11,5500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,11,5500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,12,6000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,12,6000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,13,6500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,13,6500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,14,7000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,14,7000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,15,7500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,15,7500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,16,8000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,16,8000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,17,8500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,17,8500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,18,9000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,18,9000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,19,9500,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,19,9500,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
supervised,20,10000,failure_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
supervised,20,10000,mean_return,5,500.0,0.0,0.0,500.0,500.0,0.0
