seed,method,iteration,new_labels,cumulative_labels,mean_return,return_standard_deviation_across_episodes,failure_rate,failure_count,evaluation_episodes,training_failures
0,dagger,1,500,500,76.65,26.239807545025933,1.0,20,20,0
0,dagger,2,500,1000,484.55,39.01214554468903,0.15,3,20,6
0,dagger,3,500,1500,500.0,0.0,0.0,0,20,0
0,dagger,4,500,2000,493.9,26.58928355559811,0.05,1,20,0
0,dagger,5,500,2500,494.0,26.153393661244042,0.05,1,20,1
0,dagger,6,500,3000,494.25,25.063668925358872,0.05,1,20,0
0,dagger,7,500,3500,500.0,0.0,0.0,0,20,0
0,dagger,8,500,4000,500.0,0.0,0.0,0,20,0
0,dagger,9,500,4500,500.0,0.0,0.0,0,20,0
0,dagger,10,500,5000,500.0,0.0,0.0,0,20,0
0,dagger,11,500,5500,500.0,0.0,0.0,0,20,0
0,dagger,12,500,6000,500.0,0.0,0.0,0,20,0
0,dagger,13,500,6500,500.0,0.0,0.0,0,20,0
0,dagger,14,500,7000,500.0,0.0,0.0,0,20,0
0,dagger,15,500,7500,500.0,0.0,0.0,0,20,0
0,dagger,16,500,8000,500.0,0.0,0.0,0,20,0
0,dagger,17,500,8500,500.0,0.0,0.0,0,20,0
0,dagger,18,500,9000,500.0,0.0,0.0,0,20,0
0,dagger,19,500,9500,500.0,0.0,0.0,0,20,0
0,dagger,20,500,10000,500.0,0.0,0.0,0,20,0
0,smile,1,500,500,76.65,26.239807545025933,1.0,20,20,0
0,smile,2,500,1000,89.0,35.669314543455975,1.0,20,20,0
0,smile,3,500,1500,103.95,65.2996745780559,1.0,20,20,0
0,smile,4,500,2000,86.95,42.85612558316488,1.0,20,20,1
0,smile,5,500,2500,96.75,38.400358071247204,1.0,20,20,2
0,smile,6,500,3000,98.5,37.265936188428164,1.0,20,20,1
0,smile,7,500,3500,103.5,41.36604888069442,1.0,20,20,1
0,smile,8,500,4000,119.0,72.75506855195727,1.0,20,20,2
0,smile,9,500,4500,115.1,49.26753494949793,1.0,20,20,1
0,smile,10,500,5000,105.85,45.37981379424116,1.0,20,20,0
0,smile,11,500,5500,117.15,69.06321379721624,1.0,20,20,2
0,smile,12,500,6000,105.6,36.394230311960165,1.0,20,20,2
0,smile,13,500,6500,120.7,30.684034936754976,1.0,20,20,3
0,smile,14,500,7000,131.5,42.184712870896725,1.0,20,20,2
0,smile,15,500,7500,129.0,40.591871107402774,1.0,20,20,2
0,smile,16,500,8000,126.0,36.75867244610447,1.0,20,20,3
0,smile,17,500,8500,128.65,45.88057867987282,1.0,20,20,2
0,smile,18,500,9000,115.25,37.15087482146282,1.0,20,20,4
0,smile,19,500,9500,133.8,40.74137945627271,1.0,20,20,2
0,smile,20,500,10000,137.2,57.61041572493641,1.0,20,20,2
0,supervised,1,500,500,76.65,26.239807545025933,1.0,20,20,0
0,supervised,2,500,1000,126.15,90.8225054708358,1.0,20,20,0
0,supervised,3,500,1500,322.3,197.21792514880588,0.45,9,20,0
0,supervised,4,500,2000,461.95,93.33727819044222,0.15,3,20,0
0,supervised,5,500,2500,500.0,0.0,0.0,0,20,0
0,supervised,6,500,3000,500.0,0.0,0.0,0,20,0
0,supervised,7,500,3500,500.0,0.0,0.0,0,20,0
0,supervised,8,500,4000,500.0,0.0,0.0,0,20,0
0,supervised,9,500,4500,500.0,0.0,0.0,0,20,0
0,supervised,10,500,5000,500.0,0.0,0.0,0,20,0
0,supervised,11,500,5500,500.0,0.0,0.0,0,20,0
0,supervised,12,500,6000,500.0,0.0,0.0,0,20,0
0,supervised,13,500,6500,500.0,0.0,0.0,0,20,0
0,supervised,14,500,7000,500.0,0.0,0.0,0,20,0
0,supervised,15,500,7500,500.0,0.0,0.0,0,20,0
0,supervised,16,500,8000,500.0,0.0,0.0,0,20,0
0,supervised,17,500,8500,500.0,0.0,0.0,0,20,0
0,supervised,18,500,9000,500.0,0.0,0.0,0,20,0
0,supervised,19,500,9500,500.0,0.0,0.0,0,20,0
0,supervised,20,500,10000,500.0,0.0,0.0,0,20,0
1,dagger,1,500,500,74.1,21.70691134178237,1.0,20,20,0
1,dagger,2,500,1000,301.2,71.2324364317268,0.95,19,20,6
1,dagger,3,500,1500,435.9,103.48666580772617,0.35,7,20,1
1,dagger,4,500,2000,493.6,27.89695323866031,0.05,1,20,0
1,dagger,5,500,2500,500.0,0.0,0.0,0,20,0
1,dagger,6,500,3000,500.0,0.0,0.0,0,20,0
1,dagger,7,500,3500,500.0,0.0,0.0,0,20,0
1,dagger,8,500,4000,500.0,0.0,0.0,0,20,0
1,dagger,9,500,4500,500.0,0.0,0.0,0,20,0
1,dagger,10,500,5000,500.0,0.0,0.0,0,20,0
1,dagger,11,500,5500,500.0,0.0,0.0,0,20,0
